,Category,Example0,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20,Example21,Example22,Example23,Example24,Example25,Example26,Example27,Example28,Example29,Example30,Example31,Example32,Example33,Example34,Example35,Example36,Example37,Example38,Example39,Example40,Example41,Example42,Example43,Example44,Example45,Example46,Example47,Example48,Example49,Example50,Example51,Example52,Example53,Example54,Example55,Example56,Example57,Example58,Example59,Example60,Example61,Example62,Example63,Example64,Example65,Example66,Example67,Example68,Example69,Example70,Example71,Example72,Example73,Example74,Example75,Example76,Example77,Example78,Example79,Example80,Example81,Example82,Example83,Example84,Example85,Example86,Example87,Example88,Example89,Example90,Example91,Example92,Example93,Example94,Example95,Example96,Example97,Example98,Example99
47,ingest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,drives,0.1667,0.1667,0.1071,0.119,0.0635,0.0417,0.1538,0.087,0.2105,0.1245,0.1231,0.0982,0.1171,0.1212,0.1143,0.2121,0.1128,0.0435,0.0789,0.2424,0.0694,0.0588,0.16,0.131,0.1,0.1354,0.1429,0.1034,0.0357,0.2097,0.1293,0.125,0.1088,0.1304,0.0435,0.1529,0.1569,0.1148,0.0567,0.1183,0.1642,0.2062,0.0617,0.197,0.087,0.125,0.0833,0.0423,0.2051,0.0959,0.0,0.1121,0.1429,0.1212,0.0571,0.139,0.1236,0.0673,0.0769,0.0833,0.125,0.0682,0.1923,0.04,0.1042,0.1326,0.1875,0.0,0.0667,0.0984,0.1842,0.125,0.15,0.1935,0.0694,0.2016,0.0833,0.0599,0.1,0.1111,0.1633,0.0,0.0556,0.1928,0.1452,0.3667,0.16,0.0769,0.0676,0.1489,0.1,0.1,0.087,0.0,0.1351,0.0926,0.1522,0.1607,0.3333,0.1212
49,affiliation,0.0833,0.1111,0.0,0.0238,0.0159,0.0,0.0385,0.0217,0.0526,0.0,0.0154,0.0357,0.045,0.0606,0.0,0.0303,0.0226,0.0,0.0263,0.1212,0.0139,0.0,0.0667,0.0238,0.0333,0.0208,0.0,0.0345,0.0,0.0161,0.0068,0.0,0.0068,0.0,0.0087,0.051,0.0588,0.0246,0.0071,0.0215,0.0896,0.0722,0.037,0.0227,0.0,0.125,0.0,0.0141,0.0641,0.0342,0.0,0.0421,0.0357,0.0,0.0286,0.0294,0.0225,0.0192,0.0,0.0833,0.0833,0.0227,0.1923,0.02,0.0,0.0221,0.0625,0.0,0.0,0.0164,0.0789,0.0,0.05,0.0645,0.0278,0.0968,0.0833,0.0,0.05,0.0278,0.0102,0.0,0.0,0.0602,0.0161,0.0667,0.0,0.0577,0.0135,0.0213,0.0333,0.0333,0.058,0.0,0.0541,0.0,0.0435,0.0357,0.1667,0.0758
50,achiev,0.0833,0.0556,0.0714,0.0476,0.0,0.0,0.0577,0.0217,0.0526,0.044,0.0154,0.0446,0.018,0.0303,0.0143,0.0,0.0827,0.0,0.0,0.0303,0.0694,0.0588,0.04,0.0119,0.0,0.0312,0.0238,0.0296,0.0238,0.0806,0.0476,0.0625,0.0136,0.0435,0.0174,0.0382,0.0588,0.0328,0.0071,0.0323,0.0299,0.0825,0.0,0.1212,0.0435,0.0,0.0,0.0,0.0256,0.0068,0.0,0.014,0.0,0.0606,0.0,0.0481,0.0337,0.0288,0.0385,0.0,0.0417,0.0,0.0,0.0,0.0208,0.0221,0.0,0.0,0.0667,0.0164,0.0263,0.075,0.0,0.0323,0.0139,0.0242,0.0,0.018,0.0,0.0,0.0612,0.0,0.0556,0.012,0.0484,0.1333,0.08,0.0,0.0,0.0213,0.0,0.0333,0.0145,0.0,0.027,0.037,0.0217,0.0357,0.0,0.0
51,power,0.0417,0.0,0.0357,0.0476,0.0317,0.0,0.0577,0.0435,0.1053,0.0623,0.0462,0.0357,0.018,0.0303,0.0714,0.0909,0.0,0.0,0.0263,0.0606,0.0278,0.0,0.0267,0.0357,0.0333,0.0312,0.0714,0.0049,0.0119,0.0806,0.0272,0.0312,0.0748,0.0435,0.0261,0.0637,0.0,0.0164,0.0213,0.0108,0.0299,0.0309,0.0123,0.0455,0.0,0.0,0.0,0.0,0.0897,0.0274,0.0,0.0327,0.0357,0.0303,0.0286,0.0722,0.0449,0.0385,0.0385,0.0,0.0,0.0455,0.0,0.0,0.0625,0.0829,0.0625,0.0,0.0,0.0328,0.0526,0.05,0.1,0.0323,0.0278,0.0645,0.0,0.0419,0.0,0.1111,0.1122,0.0,0.0,0.1084,0.0484,0.0667,0.04,0.0,0.0541,0.0638,0.0667,0.0667,0.0145,0.0,0.027,0.037,0.0652,0.0714,0.1667,0.0303
52,reward,0.0,0.0,0.0,0.0,0.0159,0.0417,0.0,0.0,0.0526,0.0183,0.0308,0.0268,0.018,0.0,0.0,0.0303,0.015,0.0,0.0263,0.0303,0.0139,0.0588,0.0133,0.0238,0.0,0.0417,0.0476,0.0049,0.0,0.0323,0.0544,0.0312,0.0204,0.0435,0.0,0.0064,0.0588,0.0328,0.0213,0.0215,0.0299,0.0515,0.0123,0.0227,0.0217,0.0,0.0833,0.0141,0.0256,0.0411,0.0,0.028,0.0714,0.0606,0.0,0.0027,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0417,0.0055,0.0625,0.0,0.0,0.0492,0.0526,0.025,0.05,0.0323,0.0139,0.0323,0.0,0.0,0.05,0.0,0.0204,0.0,0.0,0.012,0.0323,0.0333,0.04,0.0192,0.0,0.0638,0.0,0.0,0.0,0.0,0.027,0.0185,0.0652,0.0357,0.0,0.0152
53,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0192,0.0,0.0,0.0073,0.0154,0.0089,0.018,0.0,0.0286,0.0606,0.0,0.0435,0.0,0.0,0.0139,0.0,0.0267,0.0357,0.0333,0.0104,0.0238,0.0296,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0164,0.0071,0.0323,0.0149,0.0,0.0,0.0227,0.0217,0.0,0.0,0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323,0.0139,0.0081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0
54,focuspast,0.0417,0.0,0.0,0.119,0.0159,0.0,0.0192,0.0,0.0,0.033,0.0462,0.125,0.1081,0.0,0.0286,0.0,0.0075,0.0,0.0263,0.0303,0.0278,0.0,0.0133,0.0357,0.0667,0.0625,0.0238,0.0148,0.0476,0.0,0.034,0.0,0.0068,0.0,0.0087,0.0318,0.098,0.0,0.0213,0.0645,0.0,0.0206,0.0,0.0076,0.0,0.0,0.0833,0.0141,0.0385,0.0137,0.0,0.0327,0.0,0.0,0.0286,0.0294,0.0112,0.0096,0.0385,0.0833,0.125,0.0,0.0,0.12,0.0208,0.0221,0.125,0.0,0.0,0.082,0.0263,0.0,0.0,0.0323,0.1111,0.0403,0.0833,0.024,0.0,0.0278,0.0102,0.0,0.0,0.0361,0.0,0.0,0.0,0.0192,0.0676,0.0,0.0,0.0667,0.0,0.125,0.027,0.0185,0.0,0.0,0.0,0.0
55,focuspresent,0.125,0.1111,0.1071,0.0952,0.2063,0.1667,0.1731,0.1087,0.1053,0.1355,0.1385,0.0357,0.0721,0.0606,0.1286,0.1818,0.188,0.2174,0.0789,0.0909,0.0694,0.0588,0.0933,0.131,0.1667,0.0729,0.0714,0.1232,0.1071,0.1613,0.1565,0.2188,0.0884,0.0435,0.113,0.1146,0.1373,0.1393,0.1206,0.1505,0.1343,0.1237,0.1728,0.0758,0.1087,0.125,0.0833,0.0986,0.0769,0.1575,0.0962,0.1449,0.1071,0.1818,0.0571,0.107,0.1236,0.125,0.1154,0.1667,0.2083,0.1136,0.1538,0.04,0.1458,0.0884,0.0625,0.0,0.1333,0.1148,0.1053,0.075,0.1,0.1935,0.0278,0.129,0.0833,0.1018,0.05,0.1667,0.0816,0.1667,0.1667,0.0843,0.0968,0.0667,0.12,0.1346,0.0,0.1064,0.1,0.1333,0.1739,0.125,0.1622,0.1481,0.1087,0.125,0.0,0.0909
56,focusfuture,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0037,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0357,0.0,0.0,0.0,0.069,0.0,0.0323,0.0272,0.0625,0.0204,0.0,0.0087,0.0318,0.0,0.0656,0.0,0.0215,0.0299,0.0103,0.0741,0.053,0.0217,0.0,0.0,0.0141,0.0,0.0,0.0,0.0047,0.0,0.0303,0.0,0.0027,0.0337,0.0192,0.0192,0.0,0.0,0.0227,0.0,0.0,0.0625,0.011,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0833,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.0213,0.0,0.0333,0.0,0.0,0.1081,0.037,0.0435,0.0,0.0,0.0
57,relativ,0.0417,0.0,0.0357,0.0476,0.0635,0.0417,0.1346,0.087,0.0526,0.0842,0.1385,0.1607,0.0721,0.1515,0.1143,0.0909,0.1654,0.087,0.1579,0.0909,0.1111,0.0588,0.2,0.119,0.0333,0.1562,0.0238,0.0936,0.131,0.1129,0.0884,0.1562,0.1973,0.1739,0.1478,0.1019,0.098,0.1066,0.1418,0.1183,0.1642,0.2165,0.1235,0.0682,0.1087,0.125,0.1667,0.1127,0.141,0.0959,0.1154,0.1355,0.1071,0.0606,0.0571,0.1283,0.1685,0.1154,0.1538,0.0,0.0833,0.1136,0.1154,0.0,0.1667,0.0994,0.0625,0.0,0.0667,0.0984,0.1053,0.1,0.05,0.0968,0.1389,0.1371,0.0,0.1078,0.1,0.0833,0.1735,0.0833,0.0556,0.1325,0.0968,0.1667,0.16,0.1346,0.2162,0.0638,0.2,0.0667,0.1159,0.125,0.1892,0.037,0.1087,0.0179,0.0833,0.1364
58,motion,0.0,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0526,0.0037,0.0,0.0357,0.018,0.0303,0.0,0.0,0.0526,0.0,0.0,0.0,0.0278,0.0,0.0133,0.0,0.0,0.0312,0.0,0.0099,0.0119,0.0,0.0136,0.0312,0.0136,0.0,0.0261,0.0191,0.0,0.0082,0.0071,0.0108,0.0,0.0103,0.037,0.0,0.0,0.0,0.0,0.0423,0.0,0.0274,0.0,0.014,0.0,0.0,0.0286,0.0134,0.0337,0.0096,0.0,0.0,0.0,0.0,0.0769,0.0,0.0625,0.0055,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0278,0.0161,0.0,0.0,0.0,0.0278,0.0408,0.0,0.0,0.0,0.0161,0.0333,0.0,0.0192,0.0541,0.0213,0.0333,0.0,0.058,0.0,0.0541,0.0,0.0,0.0,0.0,0.0303
59,space,0.0,0.0,0.0357,0.0476,0.0159,0.0417,0.0962,0.0435,0.0,0.0513,0.1231,0.0804,0.027,0.0909,0.0571,0.0606,0.0827,0.0435,0.0789,0.0303,0.0694,0.0,0.12,0.0238,0.0333,0.0833,0.0238,0.0493,0.0952,0.0645,0.034,0.0,0.1224,0.0435,0.087,0.051,0.0392,0.0574,0.078,0.0645,0.0448,0.1237,0.0123,0.0455,0.087,0.125,0.0833,0.0423,0.1154,0.0616,0.1154,0.0654,0.1071,0.0606,0.0286,0.0668,0.0787,0.0962,0.0577,0.0,0.0417,0.0909,0.0385,0.0,0.1042,0.0608,0.0,0.0,0.0667,0.0656,0.1053,0.075,0.05,0.0645,0.0417,0.0565,0.0,0.0659,0.1,0.0556,0.0918,0.0,0.0556,0.1205,0.0645,0.0667,0.04,0.0769,0.0811,0.0,0.1333,0.0667,0.0435,0.125,0.0541,0.0185,0.0217,0.0,0.0,0.1061
60,time,0.0417,0.0,0.0,0.0,0.0317,0.0,0.0385,0.0435,0.0,0.0293,0.0154,0.0536,0.027,0.0303,0.0571,0.0303,0.0376,0.0435,0.0526,0.0606,0.0278,0.0588,0.0667,0.0952,0.0,0.0417,0.0,0.0296,0.0238,0.0484,0.0408,0.125,0.0748,0.1304,0.0435,0.0382,0.0588,0.041,0.0496,0.0538,0.1194,0.0928,0.0741,0.0227,0.0217,0.0,0.0833,0.0423,0.0256,0.0068,0.0,0.0654,0.0,0.0,0.0,0.0481,0.0674,0.0096,0.0962,0.0,0.0417,0.0227,0.0,0.0,0.0,0.0331,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0323,0.0694,0.0726,0.0,0.0419,0.0,0.0,0.051,0.0833,0.0,0.012,0.0161,0.0,0.12,0.0577,0.0946,0.0426,0.0667,0.0,0.0145,0.0,0.0811,0.0185,0.087,0.0179,0.0833,0.0
61,work,0.0417,0.1111,0.1071,0.0714,0.127,0.0833,0.1731,0.0217,0.1579,0.0879,0.0308,0.0982,0.045,0.0909,0.1857,0.0909,0.0526,0.087,0.0526,0.0606,0.0833,0.0588,0.0267,0.0952,0.0333,0.0417,0.0952,0.064,0.0595,0.0806,0.102,0.25,0.2041,0.0435,0.0174,0.0955,0.0784,0.041,0.0496,0.0215,0.0448,0.1546,0.0741,0.1742,0.0435,0.0,0.0,0.0423,0.1538,0.0274,0.0962,0.0654,0.1429,0.0909,0.0286,0.1203,0.0674,0.0865,0.1346,0.0833,0.0,0.0,0.0,0.06,0.0208,0.1381,0.125,0.3333,0.0667,0.1148,0.1053,0.1,0.15,0.0645,0.0694,0.0565,0.0833,0.1437,0.0,0.1111,0.1224,0.1667,0.1111,0.0843,0.1613,0.0333,0.16,0.0577,0.1486,0.0851,0.2,0.2,0.058,0.0,0.0541,0.1296,0.1304,0.0893,0.1667,0.1212
62,leisure,0.0,0.1111,0.0,0.0,0.0,0.0,0.0192,0.0217,0.0,0.0,0.0154,0.0089,0.009,0.0,0.0,0.0,0.0,0.0435,0.0263,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238,0.0,0.0068,0.0,0.0,0.0,0.0174,0.0064,0.0,0.0,0.0071,0.0,0.0,0.0,0.0247,0.0152,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0
63,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,money,0.0,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0104,0.0238,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0071,0.0,0.0,0.0,0.0,0.0303,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,relig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,informal,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0303,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0238,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0103,0.0247,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0053,0.0112,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.3333,0.0,0.0,0.0263,0.0,0.0,0.0,0.0139,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0
68,swear,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,netspeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,assent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0027,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0
71,nonflu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,filler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
